"","ï..Sample","Original.label","Treatment","Weeks.post.transplant","WBC","RBC","HGB","HCT","MCV","MCH","MCHC","PLT","MPV","RDW","Percent.Lym","Percent.Mon","Percent.Gra","Number.Lym","Number.Mon","Number.Gra","GFP"
"299","MIG.15","MB_miR BMT_MIG_4","control",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","MIG.16","MB_miR BMT_MIG_5","control",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","miR532.17","MB_miR BMT_532_1","miR-532",50,13.1,9.8,14.3,45.3,46,14.6,31.5,847,6.4,14.5,57.2,8.9,33.9,7.5,1.1,4.5,22.3
"302","miR532.18","MB_miR BMT_532_2","miR-532",50,13.1,6.48,10.7,34.5,53,16.5,31,320,7.4,16.3,19.7,12.7,67.6,2.5,1.6,9,69.56
"303","miR532.19","MB_miR BMT_532_3","miR-532",50,4.3,8.28,11.7,38.4,46,14.2,30.5,757,6.8,14.2,31.3,10.2,58.4,1.3,0.4,2.6,40.67
"304","miR532.20","MB_miR BMT_532_4","miR-532",50,5.6,9.53,13.6,43.6,46,14.3,31.2,1213,6.4,14.9,35.6,10.2,54.2,1.9,0.5,3.2,5.48
"305","miR532.21","MB_miR BMT_532_5","miR-532",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","MIG.17","PL_miR BMT_MIG_1","control",5,6.4,10.13,17.1,58.1,44,13,29.5,720,7,16,70,8,22,4.4,0.5,1.5,43.6
"307","MIG.18","PL_miR BMT_MIG_2","control",5,2.9,7.17,9.7,31.7,44,13.6,30.6,488,6.9,17,65,12.4,22.6,1.8,0.3,0.8,44.7
"308","MIG.19","PL_miR BMT_MIG_3","control",5,2.9,7.83,11.6,38.3,49,14.8,30.3,359,7.6,18.7,48.2,10.6,41.2,1.3,0.3,1.3,52
"309","MIG.20","PL_miR BMT_MIG_4","control",5,3,5.96,8.8,26.9,45,14.7,32.7,495,6.9,16.8,18.7,8.1,73.2,0.5,0.2,2.3,48.8
"310","MIG.21","PL_miR BMT_MIG_5","control",5,5.5,11.95,16.4,54.9,46,13.7,29.8,712,6.6,16.5,50.4,11,38.6,2.7,0.6,2.2,72.8
"311","MIG.22","PL_miR BMT_MIG_6","control",5,3.9,11.06,15.4,51.3,46,14,30.1,607,6.5,16.1,51.8,10.5,37.7,2,0.4,1.5,87.6
"312","MIG.23","PL_miR BMT_MIG_7","control",5,6.6,10.86,12.6,48.2,44,11.6,26.1,747,6.7,15.4,35.5,15.3,49.2,2.3,1,3.3,59.2
"313","MIG.24","PL_miR BMT_MIG_8","control",5,3.7,11.42,15.8,53.6,47,13.8,29.5,843,6.4,15.7,55.2,10.8,34,2,0.3,1.4,73.3
"314","MIG.25","PL_miR BMT_MIG_9","control",5,4.4,11.34,15.6,52,46,13.8,30.1,510,6.8,16.4,56.2,10,33.8,2.4,0.4,1.6,74.9
"315","miR532.22","PL_miR BMT_532_1","miR-532",5,9.5,13.49,15.4,58.7,43,11.4,26.3,685,7.3,15.9,63.3,10.8,25.9,6,1,2.5,68.3
"316","miR532.23","PL_miR BMT_532_2","miR-532",5,6.8,13.7,17.7,60,44,12.9,29.5,661,6.9,16.1,64.5,9.7,25.8,4.3,0.6,1.9,66.3
"317","miR532.24","PL_miR BMT_532_3","miR-532",5,5.1,12.08,16,53.3,44,13.3,30.1,631,6.3,15.2,71.2,8.6,20.2,3.6,0.4,1.1,74.2
"318","miR532.25","PL_miR BMT_532_4","miR-532",5,4,13.05,18.4,60.4,46,14.1,30.5,458,7.5,16.7,45.5,8.5,46,1.8,0.3,1.9,52.9
"319","miR532.26","PL_miR BMT_532_5","miR-532",5,6,12.26,17.9,56.8,46,14.6,31.5,384,7.3,16.9,43.7,10.7,45.6,2.6,0.6,2.8,54.5
"320","miR532.27","PL_miR BMT_532_6","miR-532",5,4.1,11.6,15.6,52.2,45,13.5,29.9,713,6.6,16.2,59.9,9.8,30.3,2.4,0.3,1.4,62.1
"321","miR532.28","PL_miR BMT_532_7","miR-532",5,2.9,11.95,16,53.3,45,13.4,30,702,6.5,15.9,66.3,10,23.7,1.9,0.2,0.8,86.3
"322","miR532.29","PL_miR BMT_532_8","miR-532",5,10.2,10.82,14.5,49,45,13.4,29.7,652,7,17.2,17.9,9.4,72.7,1.8,0.9,7.5,43.2
"323","miR532.30","PL_miR BMT_532_9","miR-532",5,7.1,11.76,15,51.9,44,12.7,28.8,1067,6.7,16.6,28.2,12.6,59.2,2,0.8,4.3,37.4
"324","miR532.31","PL_miR BMT_532_10","miR-532",5,4.2,11.73,13.3,52.4,45,11.3,25.4,833,6.6,15.5,51.5,16.5,32,2.1,0.6,1.5,65.3
"325","miR532.32","PL_miR BMT_532_11","miR-532",5,3.9,11.34,15.3,51.7,46,13.5,29.6,599,6.7,16,39.1,9.4,51.5,1.5,0.3,2.1,60.6
"326","miR532.33","PL_miR BMT_532_12","miR-532",5,6.9,11.03,15.5,51,46,14.1,30.4,519,6.6,16.5,47.2,8.9,43.9,3.2,0.6,3.1,62.8
"327","MIG.17","PL_miR BMT_MIG_1","control",11,5,12.09,16,51,42,13.2,31.3,1006,6.2,16.1,74.5,7.3,18.2,3.7,0.3,1,49.2
"328","MIG.18","PL_miR BMT_MIG_2","control",11,4.5,11.15,14.5,48.4,43,13,29.9,997,6.5,16.9,66.3,9.3,24.4,2.9,0.4,1.2,43.2
"329","MIG.19","PL_miR BMT_MIG_3","control",11,7.3,11.37,16.3,54.2,48,14.3,30.1,613,6.5,16.2,71.4,7.5,21.1,5.2,0.5,1.6,27.3
"330","MIG.20","PL_miR BMT_MIG_4","control",11,4.8,11.44,15,50.1,44,13.1,30,981,6.4,16.5,66.2,7.7,26.1,3.1,0.3,1.4,18.2
"331","MIG.21","PL_miR BMT_MIG_5","control",11,2,4.76,6.7,24.7,52,14,27,432,7.5,21.1,81.1,8.2,10.7,1.5,0.1,0.4,32.7
"332","MIG.22","PL_miR BMT_MIG_6","control",11,9.9,12.14,16.8,54.9,45,13.9,30.7,724,6.4,16.4,68.9,9.2,21.9,6.8,0.9,2.2,69.6
"333","MIG.23","PL_miR BMT_MIG_7","control",11,8.8,12.61,16.9,55.2,44,13.4,30.6,802,6.2,16.1,76.6,7.4,16,6.7,0.6,1.5,73.8
"334","MIG.24","PL_miR BMT_MIG_8","control",11,6.1,11,15.8,50.7,46,14.4,31.1,1015,6.5,17,71.4,7.2,21.4,4.3,0.4,1.4,92.2
"335","MIG.25","PL_miR BMT_MIG_9","control",11,9.9,11.93,16.7,53.9,45,14,30.9,640,6.7,16.7,71.4,8.2,20.4,7,0.8,2.1,68.1
"336","miR532.22","PL_miR BMT_532_1","miR-532",11,7.1,12.8,16.3,53.1,42,12.7,30.6,960,6.4,16.1,72.2,7.9,19.9,5.1,0.5,1.5,64.4
"337","miR532.23","PL_miR BMT_532_2","miR-532",11,4.3,11.03,14.8,48.4,44,13.4,30.5,939,6.3,17.1,64.3,8.8,26.9,2.7,0.3,1.3,62.5
"338","miR532.24","PL_miR BMT_532_3","miR-532",11,6.5,10.8,14.3,46.7,43,13.2,30.6,821,6.7,17,65.7,8.9,25.4,4.2,0.5,1.8,72.1
"339","miR532.25","PL_miR BMT_532_4","miR-532",11,4.6,10.7,15.2,49.5,46,14.2,30.6,698,6.3,16.4,65.9,9,25.1,3,0.4,1.2,30.5
"340","miR532.26","PL_miR BMT_532_5","miR-532",11,6.6,11.51,15.9,52.3,45,13.8,30.4,573,6.7,16.4,73.5,8.6,17.9,4.8,0.5,1.3,38.8
"341","miR532.27","PL_miR BMT_532_6","miR-532",11,8.8,12.58,17.3,55.7,44,13.7,31,1378,6.1,16.8,72.9,8.1,19,6.4,0.7,1.7,46.3
"342","miR532.28","PL_miR BMT_532_7","miR-532",11,8.3,12.17,16.5,54.2,44,13.5,30.4,939,6.8,17.2,74.3,7.6,18.1,6.1,0.6,1.3,58.9
"343","miR532.29","PL_miR BMT_532_8","miR-532",11,7,11.73,15.8,51.9,44,13.5,30.5,649,6.3,16.6,63.8,8.7,27.5,4.4,0.6,2,77.2
"344","miR532.30","PL_miR BMT_532_9","miR-532",11,8.8,10.39,15.5,51.8,50,14.9,29.9,770,6.5,23.6,72.1,9.1,18.8,6.3,0.8,1.7,42
"345","miR532.31","PL_miR BMT_532_10","miR-532",11,4.8,12.74,16.8,55.3,43,13.2,30.4,804,6.3,16.4,73.3,7.8,18.9,3.4,0.3,1.1,59.2
"346","miR532.32","PL_miR BMT_532_11","miR-532",11,7.7,12.75,17,56.3,44,13.3,30.2,1066,6.1,16.6,74.2,7,18.8,5.7,0.5,1.5,44
"347","miR532.33","PL_miR BMT_532_12","miR-532",11,9.8,12.49,17.2,56.3,45,13.8,30.6,750,6.5,16.7,68.9,8.7,22.4,6.7,0.8,2.3,51.6
"348","MIG.17","PL_miR BMT_MIG_1","control",16,6.5,12.6,16,53.7,43,12.7,29.8,1028,6.1,15.8,76.9,8,15.1,4.9,0.5,1.1,67.5
"349","MIG.18","PL_miR BMT_MIG_2","control",16,7.4,12.33,15.6,53.5,43,12.6,29.1,1245,6.5,16.7,77.1,7.4,15.5,5.6,0.5,1.3,54.6
"350","MIG.19","PL_miR BMT_MIG_3","control",16,9.2,11.25,16.8,54.7,49,14.9,30.7,968,6.2,16.1,60.1,7.3,32.6,5.5,0.6,3.1,56.3
"351","MIG.20","PL_miR BMT_MIG_4","control",16,8.3,12.69,16.6,54.4,43,13.1,30.6,1116,6.5,17,34.2,5.1,60.7,2.8,0.4,5.1,7.71
"352","MIG.21","PL_miR BMT_MIG_5","control",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","MIG.22","PL_miR BMT_MIG_6","control",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","MIG.23","PL_miR BMT_MIG_7","control",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","MIG.24","PL_miR BMT_MIG_8","control",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","MIG.25","PL_miR BMT_MIG_9","control",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","miR532.22","PL_miR BMT_532_1","miR-532",16,6.8,12.21,15.6,51.6,42,12.8,30.2,996,6.1,16.2,72.6,7.9,19.5,4.9,0.5,1.4,66.9
"358","miR532.23","PL_miR BMT_532_2","miR-532",16,8.1,12.01,16,53.2,44,13.3,30,760,7,17.6,68.7,9.3,22,5.5,0.7,1.9,59
"359","miR532.24","PL_miR BMT_532_3","miR-532",16,5.5,11.51,14.9,49.5,43,12.9,30,1146,6.1,15.5,79.9,7.2,12.9,4.3,0.3,0.9,84.2
"360","miR532.25","PL_miR BMT_532_4","miR-532",16,6.6,11.27,16.4,52.8,47,14.6,31.1,872,6.1,15.6,49.4,7.3,43.3,3.2,0.4,3,18.9
"361","miR532.26","PL_miR BMT_532_5","miR-532",16,8.4,10.87,15.6,49.7,46,14.4,31.4,598,6.6,17.4,69.3,7.8,22.9,5.8,0.6,2,17.8
"362","miR532.27","PL_miR BMT_532_6","miR-532",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","miR532.28","PL_miR BMT_532_7","miR-532",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","miR532.29","PL_miR BMT_532_8","miR-532",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","miR532.30","PL_miR BMT_532_9","miR-532",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","miR532.31","PL_miR BMT_532_10","miR-532",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","miR532.32","PL_miR BMT_532_11","miR-532",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","miR532.33","PL_miR BMT_532_12","miR-532",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
